Environmental Justice Mapping and Data Collection Act of 2021,2021-01-28T05:00:00+00:00,2021-01-28T05:00:00+00:00,Introduced in Senate
Taiwan Fellowship Act,2021-05-11T04:00:00+00:00,2021-05-28T04:00:00+00:00,"Referred to the Subcommittee on Asia, the Pacific, Central Asia and Nonproliferation."
"Chesapeake Bay Science, Education, and Ecosystem Enhancement Act of 2021",2021-05-25T04:00:00+00:00,2022-02-16T05:00:00+00:00,"Subcommittee on Water, Oceans, and Wildlife Discharged."
Environmental Justice Mapping and Data Collection Act of 2021,2021-01-28T05:00:00+00:00,2021-02-02T05:00:00+00:00,Referred to the Subcommittee on Environment and Climate Change.
Prioritizing Clean Energy and Climate Cooperation with India Act of 2021,2021-09-13T04:00:00+00:00,2021-09-13T04:00:00+00:00,Introduced in Senate
Preventing HEAT Illness and Deaths Act of 2021,2021-07-28T04:00:00+00:00,2022-06-22T04:00:00+00:00,"Committee on Commerce, Science, and Transportation. Ordered to be reported with an amendment in the nature of a substitute favorably."
Keep It in the Ground Act of 2021,2021-04-14T04:00:00+00:00,2021-04-14T04:00:00+00:00,Introduced in Senate
Domestic Manufacturing Protection Act of 2021,2021-04-22T04:00:00+00:00,2021-04-22T04:00:00+00:00,Introduced in Senate
BURMA Act of 2021,2021-10-05T04:00:00+00:00,2021-10-05T04:00:00+00:00,Introduced in Senate
Extending Government Funding and Delivering Emergency Assistance Act,2021-09-21T04:00:00+00:00,2021-09-30T19:45:13+00:00,Motion to reconsider laid on the table Agreed to without objection.
Climate and Health Protection Act,2021-02-03T05:00:00+00:00,2021-02-04T05:00:00+00:00,Referred to the Subcommittee on Health.
Israel Relations Normalization Act of 2021,2021-04-21T04:00:00+00:00,2021-09-30T04:00:00+00:00,Committee Consideration and Mark-up Session Held.
REAADI for Disasters Act,2021-08-05T04:00:00+00:00,2021-08-05T04:00:00+00:00,Introduced in Senate
Water Infrastructure Modernization Act,2021-11-30T05:00:00+00:00,2021-12-01T05:00:00+00:00,Referred to the Subcommittee on Environment and Climate Change.
"A resolution recognizing the duty of the Federal Government to implement an agenda to Transform, Heal, and Renew by Investing in a Vibrant Economy (""THRIVE"").",2021-02-08T05:00:00+00:00,2021-02-08T05:00:00+00:00,Introduced in Senate
Increasing Community Access to Resiliency Grants Act of 2021,2021-05-20T04:00:00+00:00,2022-03-17T04:00:00+00:00,"hearing held by Subcommittee on Water, Oceans, and Wildlife."
EDUCATORS for America Act,2021-12-09T05:00:00+00:00,2021-12-09T05:00:00+00:00,Introduced in Senate
Addressing Climate Financial Risk Act of 2021,2021-03-04T05:00:00+00:00,2021-03-04T05:00:00+00:00,Introduced in Senate
Expressing the need for the Federal Government to establish a national biodiversity strategy for protecting biodiversity for current and future generations.,2021-01-28T05:00:00+00:00,2021-01-28T05:00:00+00:00,Introduced in House
PREP Act of 2021,2021-06-24T04:00:00+00:00,2021-06-24T04:00:00+00:00,Introduced in Senate
Energy Efficient Public Buildings Act of 2021,2021-07-19T04:00:00+00:00,2021-07-20T04:00:00+00:00,Referred to the Subcommittee on Energy.
Electric Vehicles for Underserved Communities Act of 2021,2021-02-23T05:00:00+00:00,2021-02-24T05:00:00+00:00,Referred to the Subcommittee on Energy.
Rebuild Rural America Act of 2021,2021-02-25T05:00:00+00:00,2021-02-25T05:00:00+00:00,Introduced in Senate
Buy Green Act of 2021,2021-05-28T04:00:00+00:00,2021-06-01T04:00:00+00:00,Referred to the Subcommittee on Highways and Transit.
Office of Manufacturing and Industrial Innovation Policy Act of 2021,2021-03-26T04:00:00+00:00,2021-03-30T04:00:00+00:00,Referred to the Subcommittee on Consumer Protection and Commerce.
Climate Justice Act of 2021,2021-04-08T04:00:00+00:00,2021-04-13T04:00:00+00:00,Referred to the Subcommittee on Environment and Climate Change.
Climate Change Resiliency Fund for America Act of 2021,2021-03-18T04:00:00+00:00,2021-03-19T04:00:00+00:00,Referred to the Subcommittee on Environment and Climate Change.
Providing for the expenses of certain committees of the House of Representatives in the One Hundred Seventeenth Congress.,2021-04-14T04:00:00+00:00,2021-04-20T21:34:14+00:00,"Passed/agreed to in House: Pursuant to the provisions of H. Res. 330, H. Res. 316 is considered passed House.(consideration: CR H1979; text: CR H1979)"
UNSHACKLE Act,2021-06-11T04:00:00+00:00,2021-06-14T04:00:00+00:00,Referred to the Subcommittee on Water Resources and Environment.
"Fair, Affordable, Innovative, and Resilient Transition and Competition Act",2021-07-19T04:00:00+00:00,2021-07-19T04:00:00+00:00,Introduced in Senate
Smaller Class Sizes for Students and Educators Act of 2021,2021-11-23T05:00:00+00:00,2021-11-23T05:00:00+00:00,Introduced in House
"Expressing support for the need for a replacement fleet that meets the climate goals of the United States, protects critical supply chains, and promotes a cleaner, more stable future for a burgeoning 21st century domestic vehicle industry.",2021-03-09T05:00:00+00:00,2021-03-09T05:00:00+00:00,Introduced in House
Blue Carbon for Our Planet Act,2021-11-18T05:00:00+00:00,2021-11-18T05:00:00+00:00,Introduced in Senate
SHELTER Act,2021-06-16T04:00:00+00:00,2021-06-16T04:00:00+00:00,Introduced in House
Fishery Resource Disasters Improvement Act,2021-09-30T04:00:00+00:00,2021-11-17T05:00:00+00:00,"Subcommittee on Water, Oceans, and Wildlife Discharged."
Water Infrastructure Modernization Act of 2021,2021-11-30T05:00:00+00:00,2021-11-30T05:00:00+00:00,Introduced in Senate
Make Energy Affordable Act,2021-12-16T05:00:00+00:00,2021-12-17T05:00:00+00:00,Referred to the Subcommittee on Energy.
SHELTER Act,2021-05-25T04:00:00+00:00,2021-05-25T04:00:00+00:00,Introduced in Senate
BUILD GREEN Infrastructure and Jobs Act,2021-03-18T04:00:00+00:00,2021-03-19T04:00:00+00:00,Referred to the Subcommittee on Highways and Transit.
Mental Health Stigma in the Military Act of 2021,2021-08-20T04:00:00+00:00,2021-08-20T04:00:00+00:00,Introduced in House
RENEW Conservation Corps Act,2021-05-13T04:00:00+00:00,2021-05-14T04:00:00+00:00,Referred to the Subcommittee on Water Resources and Environment.
National Climate Bank Act,2021-02-08T05:00:00+00:00,2021-04-27T04:00:00+00:00,"Committee on Environment and Public Works Senate Subcommittee on Clean Air, Climate, and Nuclear Safety. Hearings held. With printed Hearing: S.Hrg. 117-21."
Southern Nevada Economic Development and Conservation Act,2021-03-03T05:00:00+00:00,2021-04-21T04:00:00+00:00,"Referred to the Subcommittee on National Parks, Forests, and Public Lands."
National Institutes of Clean Energy Act of 2021,2021-05-27T04:00:00+00:00,2021-05-27T04:00:00+00:00,Introduced in Senate
Teachers and Parents at the Table Act,2021-10-21T04:00:00+00:00,2021-10-21T04:00:00+00:00,Introduced in House
Responsible Climate Action and American Competitiveness Act,2021-01-21T05:00:00+00:00,2021-01-22T05:00:00+00:00,Referred to the Subcommittee on Environment and Climate Change.
Bank Merger Review Modernization Act of 2021,2021-09-29T04:00:00+00:00,2021-09-29T04:00:00+00:00,Introduced in House
Southern Nevada Economic Development and Conservation Act,2021-03-03T05:00:00+00:00,2022-03-31T04:00:00+00:00,"Committee on Banking, Housing, and Urban Affairs. Hearings held."
Air Source Heat Pump Act of 2021,2021-03-23T04:00:00+00:00,2021-03-23T04:00:00+00:00,Introduced in Senate
"A concurrent resolution recognizing that the climate crisis is disproportionately affecting the health, economic opportunity, and fundamental rights of children, expressing the sense of Congress that renewed leadership by the United States is needed to address the climate crisis, and recognizing the need of the United States to develop a national, comprehensive, and science-based climate recovery plan to phase out fossil fuel emissions, protect and enhance natural sequestration, and put the United States on a path toward stabilizing the climate system.",2021-04-22T04:00:00+00:00,2021-04-22T04:00:00+00:00,Introduced in Senate
Fossil Free Finance Act,2021-11-04T04:00:00+00:00,2021-11-04T04:00:00+00:00,Introduced in Senate
Comprehensive National Mercury Monitoring Act,2021-04-22T04:00:00+00:00,2021-04-23T04:00:00+00:00,Referred to the Subcommittee on Water Resources and Environment.
GREEN Streets Act,2021-02-24T05:00:00+00:00,2021-02-24T05:00:00+00:00,Introduced in Senate
A resolution condemning the Government of the People's Republic of China's treatment of the Uyghurs and other ethnic minorities in the Xinjiang Uyghur Autonomous Region (XUAR) and calling for an investigation into the abuses and crimes committed in the XUAR.,2021-03-23T04:00:00+00:00,2021-03-23T04:00:00+00:00,Introduced in Senate
Clean Commute for Kids Act of 2021,2021-04-21T04:00:00+00:00,2021-04-21T04:00:00+00:00,Introduced in Senate
21st Century Conservation Corps Act,2021-02-25T05:00:00+00:00,2021-02-25T05:00:00+00:00,Introduced in Senate
HALT Campus Sexual Violence Act of 2021,2021-07-30T04:00:00+00:00,2021-07-30T04:00:00+00:00,Introduced in House
STEM Opportunities Act,2021-01-05T05:00:00+00:00,2021-05-19T04:00:00+00:00,"Received in the Senate and Read twice and referred to the Committee on Health, Education, Labor, and Pensions."
21st Century Civilian Conservation and Climate Corps Act,2021-09-10T04:00:00+00:00,2021-09-10T04:00:00+00:00,Introduced in House
Securing Technology Against Climate Impacts Act,2021-09-17T04:00:00+00:00,2021-09-17T04:00:00+00:00,Introduced in House
"A bill to require the Administrator of the National Oceanic and Atmospheric Administration to award grants to certain entities for purposes of carrying out climate-resilient living shoreline projects that protect coastal communities, and for other purposes.",2021-08-05T04:00:00+00:00,2021-08-05T04:00:00+00:00,Introduced in Senate
San Francisco Bay Restoration Act,2021-01-28T05:00:00+00:00,2021-06-16T04:00:00+00:00,Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.
Honoring OCEANIA Act,2021-05-20T04:00:00+00:00,2021-05-20T04:00:00+00:00,Introduced in Senate
A resolution expressing the sense of the Senate that the President should submit the Paris Agreement to the Senate for review and consideration.,2021-02-22T05:00:00+00:00,2021-02-22T05:00:00+00:00,Introduced in Senate
Extending Government Funding and Delivering Emergency Assistance Act,2021-09-21T04:00:00+00:00,2021-09-22T04:00:00+00:00,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 135.
Comprehensive Mental Health in Schools Pilot Program Act of 2021,2021-05-25T04:00:00+00:00,2021-05-25T04:00:00+00:00,Introduced in House
CROOK Act,2021-02-02T05:00:00+00:00,2021-02-02T05:00:00+00:00,Introduced in Senate
A resolution recognizing the national debt as a threat to national security.,2021-03-25T04:00:00+00:00,2021-03-25T04:00:00+00:00,Introduced in Senate
Restore Employment in Natural and Environmental Work Conservation Corps Act,2021-04-26T04:00:00+00:00,2021-04-26T04:00:00+00:00,Introduced in Senate
Energy Infrastructure Act,2021-07-19T04:00:00+00:00,2021-07-19T04:00:00+00:00,Introduced in Senate
