,Race,Date,deaths
339,White,2015-08-20,2
340,Black,2015-07-17,2
341,Black,2015-08-06,2
342,White,2015-06-28,2
343,White,2015-06-29,2
344,White,2015-06-30,2
345,White,2015-07-02,2
346,Black,2015-07-22,2
347,Black,2015-07-16,2
348,Hispanic,2015-08-29,2
349,White,2015-07-04,2
350,Black,2015-07-09,2
351,Black,2015-07-07,2
352,White,2015-07-08,2
353,White,2015-07-10,2
354,Black,2015-03-19,2
355,Black,2015-08-14,2
356,White,2015-06-25,2
357,Black,2015-08-19,2
358,White,2015-06-22,2
359,White,2015-06-21,2
360,Black,2015-08-29,2
361,Black,2015-09-01,2
362,Black,2015-09-09,2
363,Black,2015-09-14,2
364,Black,2015-09-15,2
365,White,2015-06-12,2
366,White,2015-06-07,2
367,White,2015-06-05,2
368,White,2015-02-11,2
369,Hispanic,2015-10-26,2
370,White,2015-02-13,2
371,White,2015-05-31,2
372,Black,2015-06-24,2
373,White,2015-07-11,2
374,Black,2015-06-20,2
375,Black,2015-05-05,2
376,White,2015-08-16,2
377,Black,2015-03-24,2
378,Black,2015-03-29,2
379,Black,2015-03-30,2
380,Black,2015-03-31,2
381,White,2015-08-12,2
382,Black,2015-04-08,2
383,Black,2015-04-09,2
384,White,2015-08-09,2
385,White,2015-08-08,2
386,White,2015-08-02,2
387,Black,2015-04-27,2
388,White,2015-07-31,2
389,White,2015-07-30,2
390,Hispanic,2015-08-30,2
391,Black,2015-06-09,2
392,Black,2015-06-10,2
393,Black,2015-05-11,2
394,Hispanic,2015-11-29,2
395,Black,2015-06-19,2
396,White,2015-07-24,2
397,Black,2015-05-25,2
398,Black,2015-05-28,2
399,Black,2015-06-02,2
400,Black,2015-06-11,2
401,White,2015-02-20,1
402,White,2015-02-04,1
403,White,2015-01-30,1
404,White,2015-02-03,1
405,White,2015-01-19,1
406,White,2015-02-18,1
407,White,2015-01-23,1
408,White,2015-02-05,1
409,White,2015-02-07,1
410,White,2015-02-09,1
411,,2015-01-11,1
412,White,2015-03-01,1
413,White,2015-03-03,1
414,White,2015-10-22,1
415,White,2015-10-21,1
416,White,2015-10-16,1
417,White,2015-10-09,1
418,White,2015-10-06,1
419,White,2015-10-03,1
420,White,2015-09-30,1
421,White,2015-09-27,1
422,White,2015-09-24,1
423,White,2015-09-09,1
424,White,2015-09-08,1
425,White,2015-09-06,1
426,White,2015-09-03,1
427,White,2015-08-27,1
428,White,2015-08-14,1
429,White,2015-10-25,1
430,White,2015-10-31,1
431,White,2015-11-02,1
432,White,2015-12-04,1
433,White,2015-12-26,1
434,White,2015-12-25,1
435,White,2015-12-19,1
436,White,2015-12-16,1
437,White,2015-12-11,1
438,White,2015-12-08,1
439,White,2015-12-02,1
440,White,2015-11-03,1
441,White,2015-11-28,1
442,White,2015-11-27,1
443,White,2015-11-23,1
444,White,2015-11-15,1
445,White,2015-11-09,1
446,White,2015-11-07,1
447,White,2015-08-10,1
448,White,2015-07-29,1
449,White,2015-07-28,1
450,White,2015-04-01,1
451,White,2015-04-30,1
452,White,2015-04-22,1
453,White,2015-04-16,1
454,White,2015-04-14,1
455,White,2015-04-07,1
456,White,2015-04-04,1
457,White,2015-03-28,1
458,White,2015-05-06,1
459,White,2015-03-25,1
460,White,2015-03-20,1
461,White,2015-03-15,1
462,White,2015-03-10,1
463,White,2015-03-06,1
464,White,2015-03-04,1
465,White,2015-05-02,1
466,White,2015-05-09,1
467,White,2015-07-26,1
468,White,2015-06-18,1
469,White,2015-07-15,1
470,White,2015-07-03,1
471,White,2015-07-01,1
472,White,2015-06-27,1
473,White,2015-06-26,1
474,Other,2015-12-29,1
475,White,2015-06-16,1
476,White,2015-05-10,1
