,id_x,identifier,title,classification_x,subject,session_identifier,jurisdiction,organization_classification,bill_id,id_y,organization_id,description,date,classification_y,order
90968,ocd-bill/9d589a11-3edc-405b-b364-222b1fb6446f,HB 1475,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/9d589a11-3edc-405b-b364-222b1fb6446f,87fcf8b8-7078-494d-9cd7-a49f87314644,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
90967,ocd-bill/9d589a11-3edc-405b-b364-222b1fb6446f,HB 1475,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/9d589a11-3edc-405b-b364-222b1fb6446f,43c05459-96f8-4113-b0ab-a752e0f93b0d,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
111705,ocd-bill/7e91d95a-982f-4b22-ba10-f2805685f54d,HB 1459,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/7e91d95a-982f-4b22-ba10-f2805685f54d,7931de67-0d4e-42bc-998f-a05d60a3b0bf,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
83559,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,49a21994-1d32-49ff-9861-f9d66e271e41,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Added Chief Co-Sponsor Rep. Jehan Gordon-Booth,2021-04-20,[],30
83558,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,6cc49e9d-c8a2-4d12-b852-0ccc85a06777,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Added Chief Co-Sponsor Rep. Sonya M. Harper,2021-04-20,[],29
83557,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,4e76cabe-c830-44fb-b410-b87599e49b53,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Added Chief Co-Sponsor Rep. Kathleen Willis,2021-04-20,[],28
83561,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,92b3bdad-7fab-408c-85cb-4696c6a11255,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Remove Chief Co-Sponsor Rep. Kathleen Willis,2021-04-20,[],32
83554,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,HB 1443,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/3f33270a-8d66-47af-901e-4f2636533f90,3bbb6a1a-37a1-4dc4-b0f5-7b9654964869,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Added Co-Sponsor Rep. Jonathan Carroll,2021-04-20,[],25
17025,ocd-bill/c864a489-e621-4794-a2da-2f1c28d5428b,SB 1091,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/c864a489-e621-4794-a2da-2f1c28d5428b,b9f52014-71fa-4dd0-9a43-fc86d22b75c0,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Added as Co-Sponsor Sen. Laura Fine,2021-04-20,[],13
27825,ocd-bill/b0e5b303-d4d8-4ff0-bf18-f74d5f3f991a,HB 1486,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/b0e5b303-d4d8-4ff0-bf18-f74d5f3f991a,d2d86f4f-33a3-4830-bcf9-81d81338001d,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
51010,ocd-bill/e8a6c68e-d40e-4bc7-af5f-96634b478d62,HB 1476,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/e8a6c68e-d40e-4bc7-af5f-96634b478d62,f07946f3-2b11-428a-ac0d-305c6ebcd85b,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
74488,ocd-bill/2d3c387a-7824-495a-a79a-e68a496bc526,HB 1488,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/2d3c387a-7824-495a-a79a-e68a496bc526,205c599e-786f-47fb-a396-5e864b0b2ed9,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Second Reading - Short Debate,2021-04-20,['reading-2'],6
74489,ocd-bill/2d3c387a-7824-495a-a79a-e68a496bc526,HB 1488,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/2d3c387a-7824-495a-a79a-e68a496bc526,caff9c3c-9c27-4921-87c1-884925d00c02,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
121620,ocd-bill/d03908a0-950d-4af4-973b-faa85f74d149,SB 1095,REGULATION-TECH,['bill'],[],102nd,Illinois,upper,ocd-bill/d03908a0-950d-4af4-973b-faa85f74d149,6dcfa5d3-912a-4601-9025-2be1f8aa544f,ocd-organization/20782ae5-cc22-4470-846b-fd9788ad3db7,Senate Floor Amendment No. 1 Assignments Refers to Energy and Public Utilities,2021-04-20,[],10
51011,ocd-bill/e8a6c68e-d40e-4bc7-af5f-96634b478d62,HB 1476,REGULATION-TECH,['bill'],[],102nd,Illinois,lower,ocd-bill/e8a6c68e-d40e-4bc7-af5f-96634b478d62,6488a4ca-d0aa-4637-b9b8-37cf505925bd,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,Held on Calendar Order of Second Reading - Short Debate **,2021-04-20,['reading-2'],7
